day,time_ET,symbol,setup,grade,entry,stop,t1,rvol,off_high_pct,outcome,scaled_pnl_pct,mae_pct,mfe_pct
2026-07-06,09:36,ONCO,opening_drive,C,1.04,1.01,1.10,13.2,-1.9,target_hit,7.85,-1.92,5.77
2026-07-06,10:05,ONCO,vwap_bounce,A,1.10,1.08,1.17,12.0,-6.0,invalidated,-2.49,-2.73,0.91
2026-07-06,10:46,SEER,hod_break,C,2.31,2.24,,9.1,-0.4,invalidated,-3.29,-3.03,0.87
2026-07-06,10:51,TDTH,opening_range_break,B,1.90,1.85,2.03,13.5,-7.3,target_hit,3.07,0.00,13.68
2026-07-06,10:55,LUCY,opening_range_break,B,1.21,1.17,1.37,3074.9,-1.6,invalidated,-3.54,-4.96,3.31
2026-07-06,11:49,SEER,opening_range_break,B+,2.31,2.28,2.44,6.4,-0.9,invalidated,-1.80,-1.73,0.43
2026-07-07,09:43,SKIN,break_of_structure,C,0.96,0.92,1.11,140.4,-3.0,target_hit,7.27,-1.96,16.64
2026-07-07,09:56,CLRO,opening_range_break,B,9.80,9.54,10.50,20.9,-3.4,invalidated,-2.93,-2.86,0.82
2026-07-07,09:59,SKIN,opening_range_break,B+,1.05,1.00,1.23,206.9,-1.9,invalidated,-4.98,-4.76,3.81
2026-07-07,10:37,SKYQ,opening_range_break,C,2.62,2.57,2.73,1.0,-2.2,invalidated,-2.09,-2.67,1.91
2026-07-08,09:05,WULF,break_of_structure,C,21.01,20.38,22.89,0.3,-0.1,target_hit,8.84,-0.67,9.00
2026-07-08,09:16,PENG,break_of_structure,B,68.02,65.98,72.50,2.0,-0.1,invalidated,-3.97,-5.29,0.56
2026-07-08,09:32,PRME,break_of_structure,B,4.39,4.32,,5.9,-1.6,expired,4.24,-0.46,10.02
2026-07-08,09:34,WULF,opening_drive,C,21.90,21.57,22.89,1.2,-0.3,target_hit,1.97,-0.05,4.57
2026-07-08,09:37,PRME,opening_drive,C,4.57,4.50,4.73,2.3,-0.4,invalidated,-1.80,-1.53,2.41
2026-07-08,09:53,VRXA,opening_range_break,C,3.36,3.30,3.50,2.4,-3.7,invalidated,-2.10,-5.95,3.87
2026-07-08,09:55,SKYQ,opening_range_break,B,3.56,3.51,3.67,3.1,-3.0,target_hit,3.82,-0.84,6.46
2026-07-08,09:58,SKYQ,break_of_structure,B,3.74,3.62,4.00,3.6,-1.3,target_hit,8.49,0.00,8.56
2026-07-08,10:09,VTAK,opening_range_break,C,1.67,1.61,2.00,2.1,-4.0,invalidated,-4.06,-7.78,4.19
2026-07-08,10:37,ELTX,opening_range_break,C,3.22,3.17,3.44,0.6,-1.5,target_hit,7.37,-0.93,8.39
2026-07-08,10:49,MBGL,break_of_structure,C,21.33,21.01,22.00,0.6,-0.2,invalidated,-1.80,-1.59,2.95
2026-07-08,11:24,NVVE,hod_break,B,10.10,9.16,12.00,135.6,-0.9,invalidated,-9.61,-10.89,2.08
2026-07-08,11:34,PENG,opening_range_break,B,74.75,73.63,77.00,2.0,-1.6,target_hit,3.70,-1.38,3.41
2026-07-08,11:39,MBGL,opening_range_break,C,21.82,21.49,22.50,0.6,-0.2,invalidated,-1.80,-1.70,0.64
2026-07-08,11:52,BZH,hod_break,B+,31.61,31.13,33.00,1.9,0.0,invalidated,-1.83,-1.55,1.04
2026-07-08,12:40,BZH,hod_break,C,31.85,31.32,33.00,1.7,0.0,invalidated,-1.95,-1.85,0.28
2026-07-08,13:08,ELTX,hod_break,C,3.59,3.47,4.00,1.1,0.0,invalidated,-3.75,-3.62,1.95
